"A.P.position","M.L.position","MSX1","SIX1","PAX7"
"Anterior",0,25.8304,34.0323,11.1323
"Anterior",1.515,25.2912,32.5092,12.8335
"Anterior",3.03,29.4363,31.1643,11.0824
"Anterior",4.545,32.0823,30.2315,10.4605
"Anterior",6.061,31.4053,39.506,12.2037
"Anterior",7.576,31.1792,33.9832,10.6089
"Anterior",9.091,28.0972,33.8477,11.3822
"Anterior",10.606,29.9602,33.9776,12.5811
"Anterior",12.121,29.6776,34.0344,11.9323
"Anterior",13.636,31.421,32.1823,12.0196
"Anterior",15.152,32.9905,35.5365,11.9184
"Anterior",16.667,32.3046,40.6484,12.2809
"Anterior",18.182,29.3839,34.3728,11.3379
"Anterior",19.697,32.6353,32.6474,11.5761
"Anterior",21.212,32.8564,31.4524,11.6955
"Anterior",22.727,30.611,35.5794,11.8765
"Anterior",24.242,32.3617,35.4907,11.6432
"Anterior",25.758,29.3995,35.2688,13.1276
"Anterior",27.273,31.8722,37.3651,12.6736
"Anterior",28.788,30.5557,33.2595,12.0714
"Anterior",30.303,29.3859,36.7985,12.493
"Anterior",31.818,32.152,38.2145,12.9166
"Anterior",33.333,33.4936,39.0483,12.3204
"Anterior",34.848,33.9009,37.27,10.2331
"Anterior",36.364,31.0763,37.0071,11.8995
"Anterior",37.879,34.8134,30.8653,11.3211
"Anterior",39.394,32.635,37.512,10.6139
"Anterior",40.909,31.8134,35.9375,13.5586
"Anterior",42.424,28.9982,40.0406,12.2121
"Anterior",43.939,33.7234,31.538,10.5901
"Anterior",45.455,33.4999,37.2917,11.8762
"Anterior",46.97,32.5168,40.1963,11.5479
"Anterior",48.485,28.9993,37.6162,12.6004
"Anterior",50,30.2237,34.6096,9.6352
"Anterior",51.515,31.9938,39.7072,12.4621
"Anterior",53.03,31.4073,44.2389,12.4723
"Anterior",54.545,32.6844,46.919,10.7595
"Anterior",56.061,31.2287,38.0858,10.4756
"Anterior",57.576,28.972,37.5015,13.3474
"Anterior",59.091,30.0639,39.7206,12.4023
"Anterior",60.606,30.5094,37.6244,12.3195
"Anterior",62.121,31.2275,38.0393,11.5264
"Anterior",63.636,29.5229,35.3698,11.8238
"Anterior",65.152,28.7365,44.7831,11.186
"Anterior",66.667,34.1248,41.5069,11.3264
"Anterior",68.182,27.9295,35.5606,11.7538
"Anterior",69.697,27.439,34.5232,10.6934
"Anterior",71.212,30.6085,35.4104,11.2341
"Anterior",72.727,28.2158,34.1235,9.8936
"Anterior",74.242,27.9104,32.3095,11.0145
"Anterior",75.758,29.2498,29.9516,10.513
"Anterior",77.273,27.9977,33.7425,10.3986
"Anterior",78.788,25.1044,31.238,10.9309
"Anterior",80.303,26.9545,29.9533,9.724
"Anterior",81.818,29.5645,32.3396,10.8567
"Anterior",83.333,27.0405,34.059,10.6374
"Anterior",84.848,28.6859,34.6149,9.3669
"Anterior",86.364,30.378,34.0658,10.067
"Anterior",87.879,28.4498,34.9252,11.4479
"Anterior",89.394,30.3929,35.5703,9.2763
"Anterior",90.909,30.1286,32.9266,9.4958
"Anterior",92.424,31.9905,36.6707,11.0573
"Anterior",93.939,31.337,36.7804,9.0476
