"A.P.position","M.L.position","SIX1","TFAP2A","PAX7"
"Anterior",0,54.468,36.351,20.5649
"Anterior",1.515,56.025,36.628,20.0841
"Anterior",3.03,54.359,35.059,20.1702
"Anterior",4.545,54.599,33.297,20.5426
"Anterior",6.061,52.346,36.604,22.6113
"Anterior",7.576,55.548,36.878,23.6936
"Anterior",9.091,54.952,38.871,22.1288
"Anterior",10.606,52.597,38.819,24.8888
"Anterior",12.121,54.857,31.922,26.3749
"Anterior",13.636,55.684,30.914,22.7759
"Anterior",15.152,55.262,33.646,26.2248
"Anterior",16.667,51.01,33.745,24.2351
"Anterior",18.182,61.116,33.428,22.4681
"Anterior",19.697,56.051,37.851,22.2831
"Anterior",21.212,55.801,37.174,21.301
"Anterior",22.727,54.986,33.583,22.7018
"Anterior",24.242,53.266,35.285,22.7787
"Anterior",25.758,55.653,34.503,24.6007
"Anterior",27.273,57.486,36.478,21.0495
"Anterior",28.788,55.762,37.564,22.8693
"Anterior",30.303,58.169,37.235,20.5841
"Anterior",31.818,54.182,36.129,23.3525
"Anterior",33.333,56.133,33.091,22.8698
"Anterior",34.848,61.325,36.063,22.6756
"Anterior",36.364,59.001,37.726,24.4211
"Anterior",37.879,55.943,38.012,21.5269
"Anterior",39.394,57.499,38.549,21.1661
"Anterior",40.909,54.357,34.207,19.5965
"Anterior",42.424,51.879,34.692,20.2058
"Anterior",43.939,50.69,32.817,21.8329
"Anterior",45.455,57.364,33.947,19.4673
"Anterior",46.97,54.974,34.731,20.4594
"Anterior",48.485,52.844,35.96,20.87
"Anterior",50,50.239,35.338,20.4661
"Anterior",51.515,53.821,37.317,24.0223
"Anterior",53.03,57.078,38.93,25.4104
"Anterior",54.545,57.16,36.849,21.7886
"Anterior",56.061,52.26,38.53,19.9369
"Anterior",57.576,52.021,32.429,21.4841
"Anterior",59.091,58.348,34.694,24.9101
"Anterior",60.606,61.923,35.063,23.928
"Anterior",62.121,59.276,35.998,22.5024
"Anterior",63.636,53.737,38.416,21.3995
"Anterior",65.152,57.453,37.446,23.6085
"Anterior",66.667,63.28,34.911,22.4962
"Anterior",68.182,60.586,36.231,24.0302
"Anterior",69.697,56.572,40.095,22.1452
