Distance_(microns),Gray_Value,Y1,Y2
0.000,89.6848,45.2039,22.5758
1.515,95.2875,48.8109,22.1695
3.030,92.7244,42.5685,23.2954
4.545,90.3557,44.7626,24.4371
6.061,88.5482,47.0166,21.0907
7.576,94.5161,43.0497,26.7847
9.091,95.6596,44.1338,23.8845
10.606,99.5797,42.0916,23.9231
12.121,90.1971,46.7378,23.6980
13.636,93.5057,43.7257,22.8064
15.152,101.2669,43.8810,23.8034
16.667,106.6293,47.3139,29.1463
18.182,107.8383,43.4388,28.3043
19.697,94.7609,48.3542,29.1056
21.212,96.4318,44.4774,22.6200
22.727,97.3681,44.4975,24.9162
24.242,93.7255,41.8559,20.5176
25.758,89.3756,41.3331,23.4849
27.273,93.9324,43.6772,23.9796
28.788,90.5479,39.6019,22.3377
30.303,93.8259,44.1887,21.3807
31.818,92.0548,43.5011,20.2143
33.333,96.3591,42.0341,23.1521
34.848,95.3187,44.2285,25.7926
36.364,88.0890,40.4530,28.5134
37.879,91.6481,40.1703,23.3608
39.394,86.4424,38.4982,20.4517
40.909,87.7561,44.0635,18.7303
42.424,92.2300,46.3535,25.1242
43.939,89.8990,43.7829,25.1628
45.455,88.8283,42.8372,19.4605
46.970,90.4039,43.5181,22.3953
48.485,85.4305,40.2050,21.8580
50.000,85.0871,42.3644,24.7670
51.515,85.0648,39.7716,24.9676
53.030,85.7332,43.6336,24.3023
54.545,87.4562,40.7283,24.8818
56.061,93.3796,37.9266,24.2608
57.576,88.3616,37.3176,25.0473
59.091,95.0433,41.2409,25.3042
60.606,84.7092,40.0852,24.0759
62.121,83.4956,37.8197,22.8455
63.636,79.1318,37.9077,21.5212
65.152,83.2333,40.7473,21.4517
66.667,88.2349,35.1062,23.6792
68.182,86.2056,38.0554,19.9755
69.697,81.4555,33.4696,19.9980
71.212,83.1870,34.1744,26.1871
72.727,85.5288,38.9254,23.7596
74.242,83.1993,39.4262,22.7757
75.758,81.9791,38.6156,24.9743
77.273,78.6746,35.9374,21.4255
78.788,82.3055,35.4723,23.4127
80.303,79.6873,31.8373,22.8848
81.818,84.7660,34.4474,24.2534
83.333,76.3035,35.1989,25.1812
84.848,81.8103,34.7023,26.1262
86.364,86.0695,34.6464,24.0655
87.879,85.9241,38.0221,24.3509
89.394,78.6048,32.9388,25.9752
90.909,79.3718,37.0590,29.1754
92.424,84.4989,33.6823,31.0511
93.939,89.6408,34.2605,25.0495
95.455,82.1045,36.2069,30.5195
96.970,79.8770,33.0323,27.1143
98.485,90.9509,33.5433,29.2303
100.000,82.3252,38.6603,31.1605
101.515,81.1183,34.8939,31.2578
103.030,79.2382,34.4008,33.1343
104.545,78.2327,32.2452,30.5180
106.061,79.5717,36.6773,30.2674
107.576,75.5558,34.7321,33.7536
109.091,79.2789,38.3270,37.4543
110.606,81.1398,34.8564,39.3375
112.121,80.3178,34.3083,38.9608
113.636,85.3411,37.2579,38.4850
115.152,78.6754,35.3410,40.6496
116.667,81.1108,37.5004,39.9387
118.182,84.8298,37.2651,39.7127
119.697,77.0865,34.6521,38.6176
121.212,79.4386,34.9506,38.9397
122.727,80.2647,33.9595,45.7837
124.242,76.5945,31.1024,50.4766
125.758,74.4888,34.7694,49.7466
127.273,77.9089,29.8046,51.4736
128.788,77.4370,30.7557,58.8247
130.303,82.9310,29.4883,71.7227
131.818,70.5873,28.8058,60.8201
133.333,70.6777,34.2111,66.0416
134.848,78.1887,32.8373,66.2105
136.364,76.7906,29.8478,82.8365
137.879,80.2863,30.2882,72.1653
139.394,86.4456,31.0176,74.3284
140.909,74.0603,29.1236,73.3270
142.424,70.3877,31.5862,76.3954
143.939,77.8029,28.8906,75.4326
145.455,76.1028,31.6713,81.6204
146.970,81.5686,33.1158,76.9072
148.485,81.0542,33.1800,75.5635
150.000,84.0227,33.4859,70.2978
151.515,81.9438,34.2496,77.6476
153.030,81.9779,34.1769,81.0689
154.545,78.9203,33.1330,80.6255
156.061,72.9097,34.5162,84.7390
157.576,76.0472,33.3644,93.1392
159.091,86.6642,32.8241,89.6596
160.606,81.2645,33.7097,91.1994
162.121,76.4847,33.6938,95.7549
163.636,87.6328,37.0770,107.7451
165.152,88.8748,37.5692,103.2746
166.667,83.3436,35.7820,100.5734
168.182,85.9119,36.7296,96.6262
169.697,87.8119,42.4957,101.4115
171.212,93.3990,47.0192,104.5203
172.727,90.7361,42.7797,98.8663
174.242,79.5284,44.1779,106.2292
175.758,85.6167,39.4404,102.3215
177.273,85.2545,41.1222,107.2793
178.788,89.8099,44.2229,108.3135
180.303,82.9496,42.1575,109.0428
181.818,80.8249,39.7150,84.3075
183.333,91.0965,36.0986,82.2750
184.848,86.8137,40.1479,98.2563
186.364,95.3607,40.7589,94.0787
187.879,87.3310,41.9799,83.6571
189.394,90.9126,42.5696,82.9308
190.909,98.5846,41.2059,83.2993
192.424,105.9121,43.6127,84.9878
193.939,94.3393,46.6721,90.0983
195.455,103.0291,48.2049,86.3770
196.970,99.3966,49.7534,83.6995
198.485,93.1741,49.1116,78.2224
200.000,93.5796,47.3262,75.3246
201.515,96.7386,49.0294,75.0330
203.030,97.3413,43.9518,73.1533
204.545,96.2199,45.8107,72.8619
206.061,89.9051,47.3354,65.3295
207.576,98.5385,49.1699,61.8272
209.091,99.9499,49.6100,62.4317
210.606,106.3416,51.5658,62.1338
212.121,101.4658,52.3205,58.3779
213.636,100.0952,52.5749,59.4318
215.152,97.7741,55.8814,65.7602
216.667,106.1180,56.0438,55.5565
218.182,97.2390,57.2183,54.8471
219.697,100.6692,53.6247,56.6841
221.212,100.4062,48.6362,47.3601
222.727,105.0959,53.4919,43.9740
224.242,106.3100,55.5578,43.4084
225.758,102.2883,62.6090,38.7460
227.273,103.8149,72.6366,42.2673
228.788,107.0571,73.8191,44.2339
230.303,111.0310,77.0654,42.0308
231.818,113.5528,76.7284,39.5105
233.333,119.7561,74.1033,33.6412
234.848,104.5425,69.7122,29.3567
236.364,100.4702,64.8956,28.0695
237.879,103.2335,68.0994,29.4058
239.394,117.4482,75.1369,29.6196
240.909,121.0875,71.5053,26.0614
242.424,118.0722,75.2689,25.2368
243.939,120.0729,73.2592,26.2694
245.455,117.3005,76.2815,26.4139
246.970,104.9622,77.3171,24.9873
248.485,114.3778,72.3547,27.0428
250.000,107.1766,75.4453,26.3473
251.515,111.0828,74.6536,22.7970
253.030,112.1418,76.7315,25.1853
254.545,107.0597,76.3207,23.3055
256.061,109.9368,78.1407,22.8129
257.576,98.2259,66.3356,24.7425
259.091,99.1454,59.7355,24.0371
260.606,97.1584,59.5654,20.4967
262.121,103.7925,66.7274,21.8858
