Distance_(microns),Gray_Value,Y1,Y2
0.000,28.771,36.9733,9.8793
1.515,29.702,33.1932,12.3313
3.030,29.631,34.0661,11.0822
4.545,27.705,32.2373,10.4293
6.061,28.561,36.7920,10.7234
7.576,24.839,36.7614,9.1930
9.091,26.389,37.1257,10.7312
10.606,26.302,34.6832,9.6330
12.121,29.102,33.0329,11.3213
13.636,29.672,39.7275,11.6668
15.152,26.984,36.8543,10.4404
16.667,31.201,39.6876,11.9092
18.182,29.046,41.6519,11.3340
19.697,30.951,39.6541,12.3271
21.212,29.799,36.4262,10.9723
22.727,30.669,45.6784,11.6769
24.242,27.680,37.5565,12.9893
25.758,28.854,46.1569,9.8072
27.273,31.707,39.8609,11.3563
28.788,29.420,40.8493,8.9213
30.303,29.372,40.0837,10.0226
31.818,29.571,43.3744,9.9693
33.333,26.381,39.5797,11.0190
34.848,27.068,40.7463,9.2430
36.364,31.494,40.5791,11.4410
37.879,30.693,41.1296,9.5322
39.394,34.158,41.9955,11.9990
40.909,28.521,42.2432,9.1313
42.424,31.234,40.1972,9.4608
43.939,32.780,41.5458,9.8836
45.455,34.319,41.6587,10.4888
46.970,35.123,44.9006,12.1441
48.485,31.552,47.8840,11.4002
50.000,36.756,47.7026,10.5956
51.515,37.984,46.2149,12.0659
53.030,35.199,45.9306,12.6597
54.545,37.944,44.7885,11.4655
56.061,34.460,46.0633,11.1091
57.576,34.993,45.6261,11.5721
59.091,31.858,47.4633,12.4641
60.606,37.083,47.1040,10.6960
62.121,38.986,41.9146,8.9896
63.636,36.237,41.6459,13.0872
65.152,39.829,47.1675,10.6688
66.667,35.688,44.9178,9.1824
68.182,36.313,44.8716,11.4561
69.697,36.553,45.4749,10.5332
71.212,38.008,40.4724,10.4427
72.727,39.968,40.1150,14.2510
74.242,41.555,47.3178,11.3724
75.758,46.422,44.7148,12.0803
77.273,40.570,41.7956,12.7388
78.788,44.632,40.5338,11.0946
80.303,43.129,46.8911,12.4842
81.818,43.504,43.3896,12.1721
83.333,48.302,45.8519,12.0743
84.848,43.929,38.8873,12.7220
86.364,45.368,39.8465,12.5599
87.879,39.065,44.3030,12.6513
89.394,42.346,42.8993,12.3133
90.909,41.593,43.8690,13.8091
92.424,50.940,42.2371,13.4495
93.939,48.092,35.7473,12.0774
95.455,46.878,35.8358,12.9603
96.970,50.805,44.7160,11.6658
98.485,47.455,40.7773,12.0562
100.000,49.210,41.9995,10.9390
101.515,55.729,40.9637,11.3948
103.030,61.406,41.9411,12.7167
104.545,60.286,42.0775,12.3041
106.061,62.514,40.5548,15.2245
107.576,60.701,39.7744,15.5640
109.091,60.810,47.4972,15.8209
110.606,67.104,41.7538,13.1111
112.121,65.398,41.8089,12.4422
113.636,66.011,40.2873,15.2027
115.152,70.145,42.1867,13.1780
116.667,71.039,37.9481,16.4926
118.182,77.261,38.8070,18.2585
119.697,78.655,46.4378,20.8839
121.212,79.290,41.2528,19.3705
122.727,76.202,42.9797,24.2857
124.242,82.565,39.8088,22.1536
125.758,83.294,42.3567,22.1485
127.273,80.059,42.6726,22.5637
128.788,86.664,38.6430,22.4778
130.303,85.703,40.3055,22.5830
131.818,87.994,45.8120,19.0033
133.333,91.666,40.4101,19.6375
134.848,96.903,40.1824,21.5947
136.364,100.109,35.0815,25.8910
137.879,105.676,36.7848,21.2917
139.394,96.683,37.4900,18.1646
140.909,104.554,44.0557,21.9673
142.424,99.611,36.8137,23.7874
143.939,95.873,38.9668,23.7932
145.455,96.431,39.1486,25.8487
146.970,85.928,37.8069,22.5995
148.485,88.378,35.4525,24.6323
150.000,95.234,36.9571,22.7799
151.515,96.786,33.4725,26.0176
153.030,101.982,36.4458,31.2714
154.545,108.156,40.3713,25.7902
156.061,110.918,38.9177,26.1535
157.576,117.756,37.9914,30.2423
159.091,119.885,36.8479,30.6351
160.606,129.602,36.2654,30.1359
162.121,119.175,40.8279,29.3609
163.636,126.632,41.5079,28.6777
165.152,126.543,42.1336,29.7472
166.667,128.320,38.8089,30.4300
168.182,122.125,40.6040,32.9024
169.697,123.103,40.3494,32.6703
171.212,119.529,42.0119,32.4089
172.727,127.596,45.4785,35.2233
174.242,138.711,42.6467,33.3519
175.758,148.697,39.2061,36.1593
177.273,143.686,42.2032,35.2293
178.788,141.609,40.1843,34.0525
180.303,138.178,38.8660,39.2523
181.818,133.062,38.3773,33.7526
183.333,136.580,38.1738,30.8779
184.848,123.062,39.8845,29.9304
186.364,133.806,38.8666,28.4617
187.879,130.611,43.3407,29.2180
189.394,133.988,40.0983,31.3406
190.909,131.732,32.3771,28.5089
192.424,109.539,40.1709,29.3357
193.939,100.269,39.5746,26.1299
195.455,92.225,41.7000,23.8698
196.970,84.456,38.4639,20.9882
198.485,78.054,37.3369,22.9731
200.000,76.393,42.9360,21.7926
201.515,79.061,44.2637,20.1582
203.030,82.789,44.5894,20.3666
204.545,82.179,40.5633,18.2539
206.061,76.283,42.0640,20.0981
207.576,65.443,44.3389,17.2751
209.091,57.751,38.7131,18.4205
210.606,51.243,45.0076,18.3572
212.121,47.627,43.9316,16.7726
213.636,46.779,45.6231,15.0960
215.152,45.680,50.6678,14.8894
216.667,45.826,49.2490,16.8798
218.182,42.942,46.0818,13.5838
219.697,42.035,46.0238,14.2058
221.212,42.362,47.3862,13.4179
222.727,38.568,42.5918,9.7151
224.242,32.362,40.8005,10.6892
225.758,33.147,41.5673,10.5195
227.273,33.554,40.0688,10.8770
228.788,31.175,40.9484,9.9120
230.303,29.971,43.8402,10.6282
231.818,32.595,39.5047,11.6294
233.333,29.346,38.8870,10.3259
234.848,29.363,35.6429,10.4320
236.364,28.107,36.0626,9.2097
237.879,25.967,29.1723,9.1872
239.394,26.428,37.2250,8.1546
240.909,29.440,35.4005,9.3600
242.424,25.614,37.9602,9.5576
243.939,27.538,33.5510,8.9681
245.455,26.622,33.1989,7.9405
246.970,25.675,36.5321,8.0813
248.485,24.034,33.5619,9.4251
250.000,22.878,37.0335,8.8973
251.515,22.643,37.5874,9.0797
253.030,21.001,38.8024,8.0819
254.545,21.540,37.7500,8.5423
256.061,24.676,36.4441,10.9615
257.576,22.419,34.0372,9.3112
259.091,24.653,35.8133,9.2818
260.606,25.416,36.0754,9.0659
262.121,23.512,35.7947,8.1880
263.636,25.968,36.7944,8.0133
265.152,24.144,29.0911,9.2617
266.667,24.819,33.2119,7.7041
268.182,25.113,36.6833,9.4735
269.697,22.007,31.3222,9.0358
271.212,20.321,31.2873,9.0163
272.727,21.424,34.7543,9.3585
274.242,20.094,32.3469,7.3948
275.758,22.877,27.8628,7.4662
277.273,24.923,32.0467,7.8352
278.788,27.547,31.2744,9.9852
280.303,26.580,32.1672,6.3557
281.818,23.555,35.9453,8.2862
283.333,20.652,33.3155,10.3873
284.848,21.639,31.0292,8.8782
286.364,21.577,30.9721,7.9940
287.879,20.146,26.6866,8.3573
289.394,20.435,25.4292,8.7319
290.909,22.661,24.0248,8.9423
292.424,21.283,23.9381,7.4546
293.939,20.850,21.7882,7.7097
295.455,18.988,23.8440,7.8478
296.970,24.137,23.0453,8.2878
298.485,22.779,25.8415,6.9317
300.000,23.656,23.2826,7.9858
301.515,21.962,20.5446,7.6889
303.030,20.404,23.0225,7.8139
304.545,25.046,26.1584,7.3978
306.061,21.083,21.1028,8.0018
307.576,20.202,26.4956,8.7377
309.091,22.685,25.3089,6.1304
310.606,20.924,22.8663,6.3739
312.121,22.629,25.1180,8.0200
313.636,22.691,26.0987,6.4532
315.152,23.284,24.3037,7.1919
316.667,22.367,23.7231,6.9139
318.182,20.949,20.3301,8.9811
319.697,19.411,22.0383,7.9382
321.212,21.398,18.4910,6.0970
322.727,23.957,23.7856,7.6462
324.242,23.101,21.8990,7.4505
325.758,20.211,23.0643,8.5661
327.273,20.158,21.8743,7.5130
328.788,20.926,18.3553,6.9236
330.303,22.550,21.0083,7.9619
331.818,20.214,24.7375,6.6527
333.333,24.174,21.4589,7.4245
