Distance_(microns),Gray_Value,Y1,Y2
0.000,53.9847,28.153,22.1672
1.515,57.9150,30.821,23.8971
3.030,56.3389,31.513,21.9563
4.545,49.5311,35.675,25.2923
6.061,51.5995,36.828,19.3711
7.576,51.6098,30.407,21.7431
9.091,51.2085,32.267,21.6359
10.606,50.6856,29.925,23.5016
12.121,51.1981,31.736,23.1233
13.636,61.4034,32.752,22.4622
15.152,56.5556,34.239,23.7145
16.667,55.3102,32.818,21.9366
18.182,54.6217,34.740,26.0796
19.697,55.3432,32.955,25.7564
21.212,54.1778,35.787,24.7825
22.727,54.7454,34.811,25.7566
24.242,59.4081,34.412,26.9199
25.758,56.8923,37.199,26.5239
27.273,58.1122,37.912,26.7468
28.788,60.4002,36.137,24.0859
30.303,59.8740,36.924,26.1310
31.818,58.6361,39.034,24.7329
33.333,58.8560,38.844,22.8092
34.848,55.0281,36.452,26.9059
36.364,50.1211,35.545,26.7953
37.879,54.0860,31.894,19.6174
39.394,54.9913,32.003,22.5413
40.909,51.1114,36.560,20.2005
42.424,52.1959,33.375,21.9302
43.939,54.8251,34.903,23.7859
45.455,53.1181,34.728,26.2712
46.970,54.2517,34.747,20.2458
48.485,57.9891,37.556,22.5331
50.000,57.7039,33.946,21.5867
51.515,55.8863,32.177,21.0452
53.030,55.5263,31.754,23.9605
54.545,50.8142,35.257,22.0583
56.061,52.3192,37.511,23.0701
57.576,54.1639,36.262,22.8457
59.091,56.5123,33.763,20.7427
60.606,56.0117,37.141,23.0466
62.121,60.8749,36.298,23.0059
63.636,57.0155,35.177,22.9980
65.152,54.3636,33.794,25.0039
66.667,51.6588,35.333,26.9374
68.182,53.1141,32.068,22.1524
69.697,51.9195,32.127,22.0732
71.212,49.3035,32.568,21.9758
72.727,51.7484,30.573,22.1818
74.242,54.6440,37.591,26.2354
75.758,57.4433,37.889,24.0688
77.273,55.5958,36.807,23.7276
78.788,59.0619,34.599,23.9291
80.303,61.1465,36.212,21.2229
81.818,49.2005,35.253,21.0341
83.333,54.1010,34.346,23.6801
84.848,56.3268,32.992,23.1032
86.364,51.4678,39.860,23.1613
87.879,50.1174,37.811,23.9445
89.394,55.6991,40.417,23.9847
90.909,54.0317,40.272,25.1600
92.424,56.6655,37.602,26.6975
93.939,55.2616,38.262,27.8456
95.455,58.3007,38.847,25.8793
96.970,56.9540,42.277,28.7021
98.485,53.8461,45.084,27.9150
100.000,58.6018,43.826,28.0143
101.515,62.8744,45.514,27.2929
